出口站点,日期,小时,分钟,车流量
2002,2021/5/19,13,0,1
2002,2021/5/19,13,40,1
2002,2021/5/19,13,55,3
2002,2021/5/19,14,5,1
2002,2021/5/19,14,10,1
2002,2021/5/19,14,15,4
2002,2021/5/19,14,20,2
2002,2021/5/19,14,25,3
2002,2021/5/19,14,30,3
2002,2021/5/19,14,40,2
2002,2021/5/19,14,45,2
2002,2021/5/19,14,55,1
2002,2021/5/19,15,10,2
2002,2021/5/19,15,15,1
2002,2021/5/19,15,40,1
2002,2021/5/19,15,50,1
2002,2021/5/19,16,5,2
2002,2021/5/19,16,10,2
2002,2021/5/19,16,15,2
2002,2021/5/19,16,25,1
2002,2021/5/19,17,0,1
2002,2021/5/19,17,5,1
2002,2021/5/19,17,10,3
2002,2021/5/19,17,50,1
2002,2021/5/19,17,55,2
2002,2021/5/19,18,5,1
2002,2021/5/19,18,40,1
2002,2021/5/19,19,10,1
2002,2021/5/19,19,35,1
2002,2021/5/19,21,10,1
2002,2021/5/19,22,5,1
2002,2021/5/20,0,40,1
2002,2021/5/20,1,20,1
2002,2021/5/20,4,0,1
2002,2021/5/20,5,5,1
2002,2021/5/20,5,20,1
2002,2021/5/20,6,35,1
2002,2021/5/20,6,55,1
2002,2021/5/20,7,15,1
2002,2021/5/20,7,20,1
2002,2021/5/20,7,25,1
2002,2021/5/20,7,35,1
2002,2021/5/20,7,40,1
2002,2021/5/20,7,45,3
2002,2021/5/20,7,55,1
2002,2021/5/20,8,10,2
2002,2021/5/20,8,15,1
2002,2021/5/20,8,25,1
2002,2021/5/20,8,50,1
2002,2021/5/20,8,55,1
2002,2021/5/20,9,10,1
2002,2021/5/20,9,20,1
2002,2021/5/20,9,40,1
2002,2021/5/20,10,5,1
2002,2021/5/20,10,25,1
2002,2021/5/20,10,40,1
2002,2021/5/20,10,50,1
2002,2021/5/20,11,5,1
2002,2021/5/20,11,20,1
2002,2021/5/20,11,25,1
2002,2021/5/20,11,30,1
2002,2021/5/20,11,35,1
2002,2021/5/20,11,45,1
2002,2021/5/20,11,55,2
2002,2021/5/20,12,10,1
2002,2021/5/20,13,35,1
2002,2021/5/20,13,40,1
2002,2021/5/20,14,0,2
2002,2021/5/20,14,15,1
